contract_name,contract_address,token_type,symbol,decimals
MoolaVault,0x4195bD7afC2ceCABdF2949f7CBD8E204F44045d7,ERC-20,mooVAULT,18
WETH9,0x2999B189A6b06081c58bC4dA898C38089C4ad13A,ERC-20,WETH,18
AriSwap,0x20677d4f3d0F08e735aB512393524A3CfCEb250C,ERC-20,ARI,18
celoLaunch,0xFcBE2a5Bc6F0F2Cb1599f47543e35D67ccE98265,ERC-20,cLA,18
celoLaunch,0xd30255D23196B7782524FCC7Fd2A6B2f474da21E,ERC-20,cLA,18
celoLaunch,0xd5Ffb242bedcdfD2930465dB073F8e712e25De72,ERC-20,cLA,18
celoLaunch,0x3BF4F92c07907f14793Af6C966ea6E55bf272dA1,ERC-20,cLA,18
NonFungibleToken,0x517bCe2DdBc21b9A8771Dfd3Db40404BDEF1272D,ERC-721,MPUNK,
ASCIISmilesToken,0xaAAaaAaaA12c8d5501D3AEfd29C1969a3270DD38,ERC-20,ACS,18
CloudSilver,0x44CD920344A04d707d2b994Ae66A5E1f284a0cE5,ERC-20,CSVR,18
MooToken,0x17700282592D6917F6A73D0bF8AcCf4D578c131e,ERC-20,MOO,18
GasToken2,0x9ebaF6e1Edd4cC6D86Ec621Ace0E312061660eC7,ERC-20,GST2,2
ChiToken,0x62A25e867f7853B362BBDA8c0F400466A8063880,ERC-20,CHI,0
MultiBridgeToken,0x38D1e20B0039bFBEEf4096be00175227F8939E51,ERC-20,USDC.c,6
AutocompVaultV1,0x7036f519EC6EFf4414b26c53283F6Be6650C263e,ERC-20,acSolCelo,18
AutocompVaultV1,0x4a87da7666F4997d8b2F581787cb2C4DC470E5DB,ERC-20,acAvaxMcusd,18
AutocompVaultV1,0x17E492233288fd6b2e1c34fe3Fc830292e211f34,ERC-20,acCeloKnx,18
AutocompVaultV1,0x5e9A629C8C2C444145CB83BC556d79F1d6bf2538,ERC-20,acSrcMcusd,18
CeloPunkSpecialCeloSeries,0xE3811Eba1A0Bf0BF6EA882294A90b381f6c6deb1,ERC-721,CELOPUNK,
AutocompVaultV1,0x0ea231fc89A7D3D5Bf75e3ac423FD340EC155c7c,ERC-20,acSrcMcusd,18
AutocompVaultV1,0xBb376142614442846dAbEe6Db6A178beEEbA6873,ERC-20,acMOOmCELO,18
DevRelHaus,0x6aA48ccD4e6F35936E15a916dBd195C2eFc5E08c,ERC-721,DRH,
PToken,0xEadf4A7168A82D30Ba0619e64d5BCf5B30B45226,ERC-20,pUSD,18
TelestoKey,0x7a6EFd9685D50b5d6f1be49B1e80d2F50F384CA1,ERC-721,TELOKEY,1
MintSwapCanonicalToken,0x48421FF1c6B93988138130865C4B7Cce10358271,ERC-20,openUSDC,6
MintSwapCanonicalToken,0x1FBD282fdcF0C6FA9c77Eb61f95535dE3CCB8B78,ERC-20,openWETH,18
AutocompVaultV1,0x80666229E78165BFCbB7690DE4f3de50b9105a0A,ERC-20,acmCusdWbtc,18
NFT,0x0C69fAb99e51b6C2e4a1cAE49B123bbbe94a56cD,ERC-721,CHRISTMASPUNK,
AutocompVaultV1,0x221702dc6913F203780BEF4186AbE88e43a3Bd9D,ERC-20,acPactCelo,18
AutocompVaultV1,0xBc99E5DF9C583F0721A54bA9deB89d3775e33218,ERC-20,acAriCelo,18
SafeForsageMatrix,0x84356B8Ad1692b1ec725d95D1faE18e253EE62D8,ERC-20,FORS,18
celoLaunch,0xf3de7C25880b30ad406320d4648096E6AEee226c,ERC-20,T-TCL,18
celoLaunch,0x107035446FeE56c31e6C02BC0d6982A22CCBD146,ERC-20,cLA,18
celoLaunch,0xF9b0B7c36B6d20c4EDE79704548273C23464a264,ERC-20,cLA,18
PToken,0x301a61D01A63c8D670c2B8a43f37d12eF181F997,ERC-20,pCELO,18
PToken,0xD8761DD6c7cB54febD33adD699F5E4440b62E01B,ERC-20,pEUR,18
celoLaunch,0x75BB7366014EfBdFAD02067F8029Bf76d79a26af,ERC-20,cLA,18
celoLaunch,0x5927fd244E11dB1c7b1215619144d2aAbAc80a4F,ERC-20,cLA,18
DAI,0x64e570Df5a748E7fAD3B251b2e6B2248A2928184,ERC-20,DAI,18
MintSwapCanonicalToken,0xCb4A7569a61300C50Cf80A2be16329AD9F5F8F9e,ERC-20,PEOPLE,18
Daopolis,0xc4ea80deCA2415105746639eC16cB0cF8378996A,ERC-721,DAOS,
ImmortalERC20Token,0xE685d21b7B0FC7A248a6A8E03b8Db22d013Aa2eE,ERC-20,IMMO,9
wsIMMO,0xc1eE7C595c45193d6b22d672a8637Fd72d1Fe4D5,ERC-20,wsIMMO,18
sImmortal,0xF71c475F566273CC549f597872c6432642D96deF,ERC-20,sIMMO,9
DAI,0x30EBAa15830a4c52F741029b204f612cf9612ec8,ERC-20,DAI,18
PreImmortal,0x459277127535efe9eB6c387f66432Fbd615617F2,ERC-20,pIMMO,18
