amount_raw,block_date,block_number,block_timestamp,chain,collection_contract_address,from_address,internal_index,log_index,nft_token_id,to_address,transaction_hash,transfer_type
60,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,75,60,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
61,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,76,61,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
62,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,77,62,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
63,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,78,63,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
64,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,79,64,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
65,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,80,65,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
66,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,81,66,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
67,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,82,67,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
68,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,83,68,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
69,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,84,69,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
70,2021-11-05,9704562,2021-11-05T08:11:39,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,51,70,0x0000000000000000000000000000000000000000,0x5533ed4ce069e4657919ddeae411d5c59a20373602dad3011bb062597566c5ed,transfer
71,2021-11-05,9706970,2021-11-05T11:32:19,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,7,67,71,0x0000000000000000000000000000000000000000,0x8e4ef4f29b0a9e57eaa94d28dfa6a186f17ef11ae34aafaf36146d3b8ab55a28,transfer
72,2021-11-05,9706980,2021-11-05T11:33:09,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,6,64,72,0x0000000000000000000000000000000000000000,0x1de940468b9d1e7ce761b0f2533d14799087d55e7e38dc52a405c75007832088,transfer
